Unnamed: 0,Unnamed: 1,Date,2025-10-31 00:00:00,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
W0022,Sonnetti Pinot Grigo,75cl,1,6.85,49.7,,340.445,,,,,
W0030,Tenuta Barbera dAsti DOCG,75cl,1,14.5,6,,87,,,,,
,Total for    ,Wine,,,,,4466.131,,,,,51207.0
,Grand Total,,,,,,27440.2809625742,0.0,,,,
,,,,,Draught Beers,5303.14566287879,5303.14566287879,0.0,,,,17648.07
,,,,,Bottled Beers,3079.04,3079.04,0.0,,,,0.344641748198488
,,,,,Spirits,10406.3525,161.756,10244.5965,,,,
,,,,,Minerals/Syrups,4185.61179969543,95.2,4090.41179969543,,,,
,,,,,Wine,4466.131,4466.131,0.0,,,,
,,,,,,27440.2809625742,13105.2726628788,14335.0082996954,,,,
